ISO28178
FILE_DESCRIPTOR	"FOGRA58"
ORIGINATOR	"Tschudi Software Technology GmbH (www.tschudist.com) in concord with FOGRA (www.fogra.org)"
CREATED	"Mach 2020"
TARGET_TYPE	"TC9.18"
INSTRUMENTATION	"Geometry 45:0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Textile Exchange Colour Space - for Fogra research project 13.006"
WEIGHTING_FUNCTION	"ILLUMINANT, D65"
WEIGHTING_FUNCTION	"OBSERVER, 10 degree"
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	918
BEGIN_DATA
727	255	192	255	83.96	22.24	-6.56
728	255	224	255	89.16	11.08	-3.48
729	255	255	255	94	0	0
730	16	16	16	19.96	0	0
731	32	32	32	24.91	0	0
732	48	48	48	29.87	0	0
733	64	64	64	34.83	0	0
734	80	80	80	39.78	0	0
735	96	96	96	44.74	0	0
736	112	112	112	49.7	0	0
737	128	128	128	54.66	0	0
738	144	144	144	59.61	0	0
739	160	160	160	64.57	0	0
740	176	176	176	69.53	0	0
741	192	192	192	74.48	0	0
742	208	208	208	79.44	0	0
743	224	224	224	84.4	0	0
744	240	240	240	89.35	0	0
745	244	244	244	90.59	0	0
746	233	233	233	87.19	0	0
747	207	207	207	79.13	0	0
748	11	0	0	16.08	3.26	3.26
749	0	11	0	16.23	-2.32	1.53
750	0	0	11	15.37	1.07	-1.51
751	22	0	0	17.18	6.51	6.51
752	0	22	0	17.47	-4.67	3.08
753	0	0	22	15.73	2.17	-3.03
754	48	0	0	19.9	14.14	14.14
755	0	48	0	20.49	-10.38	6.77
756	0	0	48	16.61	4.81	-6.73
757	32	16	16	21.6	4.73	4.73
758	48	32	32	26.65	4.72	4.72
759	64	48	48	31.7	4.71	4.71
760	80	64	64	36.77	4.7	4.7
761	96	80	80	41.84	4.69	4.69
762	112	96	96	46.92	4.69	4.69
763	128	112	112	51.98	4.69	4.69
764	144	128	128	57.08	4.69	4.69
765	160	144	144	62.14	4.7	4.7
766	176	160	160	67.21	4.71	4.71
767	192	176	176	72.27	4.73	4.73
768	208	192	192	77.32	4.74	4.75
769	224	208	208	82.36	4.76	4.76
770	240	224	224	87.39	4.78	4.78
771	255	240	240	92.21	4.49	4.49
772	255	244	244	92.69	3.3	3.29
773	255	233	233	91.37	6.58	6.58
774	255	207	207	88.18	14.29	14.29
775	244	0	0	52.62	67.22	67.22
776	255	11	0	56.48	67.13	71.61
777	255	0	11	54.1	71.02	67
778	233	0	0	50.27	64.43	64.43
779	255	22	0	57.96	64.25	73.21
780	255	0	22	53.22	72	63.99
781	207	0	0	44.83	57.79	57.79
782	255	48	0	61.44	57.41	76.95
783	255	0	48	51.2	74.14	56.89
784	16	32	16	21.82	-3.47	2.27
785	32	48	32	26.86	-3.57	2.31
786	48	64	48	31.92	-3.69	2.36
787	64	80	64	36.99	-3.82	2.42
788	80	96	80	42.07	-3.95	2.47
789	96	112	96	47.16	-4.1	2.54
790	112	128	112	52.24	-4.22	2.59
791	128	144	128	57.36	-4.38	2.67
792	144	160	144	62.45	-4.5	2.73
793	160	176	160	67.56	-4.63	2.8
794	176	192	176	72.64	-4.75	2.86
795	192	208	192	77.73	-4.86	2.92
796	208	224	208	82.8	-4.95	2.97
797	224	240	224	87.86	-5.03	3.01
798	240	255	240	92.68	-4.78	2.86
799	244	255	244	93.03	-3.51	2.1
800	233	255	233	92.04	-7	4.19
801	207	255	207	89.55	-15.18	9.06
802	11	255	0	55.84	-69.04	44.56
803	0	244	0	51.86	-68.11	39
804	0	255	11	53.85	-71.5	36.59
805	22	255	0	57.67	-66.08	48.07
806	0	233	0	49.74	-64.25	37
807	0	255	22	53.7	-70.98	32.2
808	48	255	0	61.92	-59.04	56.23
809	0	207	0	44.8	-55.26	32.33
810	0	255	48	53.37	-69.65	21.94
811	16	16	32	20.51	1.62	-2.31
812	32	32	48	25.5	1.68	-2.45
813	48	48	64	30.49	1.75	-2.61
814	64	64	80	35.49	1.83	-2.8
815	80	80	96	40.49	1.91	-3
816	96	96	112	45.5	2	-3.24
817	112	112	128	50.51	2.08	-3.45
818	128	128	144	55.53	2.19	-3.74
819	144	144	160	60.54	2.27	-3.96
820	160	160	176	65.56	2.36	-4.24
821	176	176	192	70.58	2.44	-4.47
822	192	192	208	75.6	2.52	-4.72
823	208	208	224	80.6	2.59	-4.94
824	224	224	240	85.61	2.65	-5.12
825	240	240	255	90.53	2.53	-4.95
826	244	244	255	91.46	1.86	-3.64
827	233	233	255	88.89	3.7	-7.22
828	207	207	255	82.76	7.99	-15.39
829	11	0	255	25.77	36.72	-45.18
830	0	11	255	26.09	30.08	-47.9
831	0	0	244	24.5	32.14	-44.45
832	22	0	255	26.55	39.4	-43.35
833	0	22	255	27.19	26.18	-48.76
834	0	0	233	24.01	30.3	-41.92
835	48	0	255	28.37	45.56	-38.98
836	0	48	255	29.8	17.03	-50.63
837	0	0	207	22.85	26.01	-36.03
838	0	16	16	16.66	-3.03	-3.03
839	16	32	32	21.7	-3.05	-3.02
840	32	48	48	26.75	-3.08	-3.01
841	48	64	64	31.81	-3.12	-3
842	64	80	80	36.9	-3.17	-2.99
843	80	96	96	41.98	-3.23	-2.98
844	96	112	112	47.09	-3.29	-2.97
845	112	128	128	52.18	-3.36	-2.96
846	128	144	144	57.32	-3.44	-2.94
847	144	160	160	62.42	-3.52	-2.93
848	160	176	176	67.54	-3.61	-2.92
849	176	192	192	72.65	-3.69	-2.91
850	192	208	208	77.75	-3.78	-2.9
851	208	224	224	82.84	-3.86	-2.89
852	224	240	240	87.91	-3.93	-2.88
853	244	255	255	93.08	-2.75	-1.98
854	233	255	255	92.12	-5.46	-3.95
855	207	255	255	89.69	-11.75	-8.64
856	11	255	255	54.7	-45.69	-44.92
857	0	244	255	50.76	-43.93	-47.9
858	0	255	244	52.02	-48.66	-43.82
859	22	255	255	57.36	-44.35	-42.84
860	0	233	255	49.53	-40.85	-48.76
861	0	255	233	52.05	-50.3	-40.62
862	48	255	255	63.48	-41.05	-37.94
863	0	207	255	46.63	-33.49	-50.63
864	0	255	207	52.12	-54.07	-32.94
865	16	0	16	16.19	4.77	0
866	32	16	32	21.21	4.8	-0.06
867	48	32	48	26.23	4.83	-0.13
868	64	48	64	31.26	4.87	-0.21
869	80	64	80	36.31	4.92	-0.31
870	96	80	96	41.35	4.98	-0.41
871	112	96	112	46.41	5.05	-0.54
872	128	112	128	51.46	5.11	-0.66
873	144	128	144	56.54	5.2	-0.84
874	160	144	160	61.59	5.28	-0.98
875	176	160	176	66.65	5.37	-1.15
876	192	176	192	71.7	5.46	-1.31
877	208	192	208	76.75	5.54	-1.47
878	224	208	224	81.79	5.62	-1.62
879	240	224	240	86.82	5.69	-1.75
880	255	244	255	92.3	3.96	-1.29
881	255	233	255	90.58	7.89	-2.52
882	255	207	255	86.43	17.05	-5.19
883	255	11	255	45.7	72.49	-1.28
884	244	0	255	42.22	74.18	-2.23
885	255	0	244	43.14	75.39	3.04
886	255	22	255	48.38	69.95	-2.51
887	233	0	255	41.44	73.33	-4.46
888	255	0	233	43.29	75.75	6.07
889	255	48	255	54.62	63.8	-5.17
890	207	0	255	39.59	71.14	-9.67
891	255	0	207	43.71	76.56	13.25
892	16	16	0	19.28	0	6.94
893	32	32	16	24.25	-0.06	6.89
894	48	48	32	29.23	-0.13	6.83
895	64	64	48	34.21	-0.2	6.76
896	80	80	64	39.2	-0.31	6.68
897	96	96	80	44.18	-0.41	6.6
898	112	112	96	49.16	-0.54	6.51
899	128	128	112	54.14	-0.66	6.43
900	144	144	128	59.13	-0.84	6.31
901	160	160	144	64.1	-0.98	6.23
902	176	176	160	69.08	-1.15	6.13
903	192	192	176	74.06	-1.31	6.04
904	208	208	192	79.03	-1.47	5.95
905	224	224	208	84	-1.62	5.88
906	240	240	224	88.97	-1.75	5.82
907	255	255	244	93.74	-1.28	3.96
908	255	255	233	93.48	-2.51	7.93
909	255	255	207	92.87	-5.19	17.42
910	255	255	11	88.26	-1.28	98.07
911	244	255	0	86.91	-3.25	101.21
912	255	244	0	86.63	3.17	101.76
913	255	255	22	88.52	-2.51	93.16
914	233	255	0	85.8	-6.5	99.38
915	255	233	0	85.26	6.33	100.51
916	255	255	48	89.12	-5.17	81.65
917	207	255	0	83.12	-14.14	94.9
918	255	207	0	82.01	13.77	97.53
END_DATA
